id,product_title,release_date,artist,category,label,img_link
EPCE-5002,ファーストタイム,1998/07/08,モーニング娘。,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/97b1eb32af2ffe4a2a5d7dc180fc6b13fb338bd4.jpg
EPCE-5006,モーニング刑事。,1998/09/30,モーニング娘。&平家みちよ,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/42873b21e8249bd71719f9fb9d41e026b2740d8f.jpg
EPCE-5010,中澤ゆうこ 第一章,1998/12/12,中澤裕子,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/824daf2028d2ed0539f8835ec5898608bfcbf88d.jpg
EPCE-5017,TANPOPO 1,1999/03/31,タンポポ,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/0a378741ede857c9fa64c789a363a50a0c63c6e2.jpg
EPCE-5025,セカンドモーニング,1999/07/28,モーニング娘。,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/e2b3fa34255419af99422daba17909de8854fa5f.jpg
EPCE-5032,TAIYO＆CISCOMOON 1,1999/10/27,太陽とシスコムーン,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/816d015edb81848a07e1b216a9f74ae6d4320d8a.jpg
EPCE-5051,3rd-LOVEパラダイス-,2000/03/29,モーニング娘。,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/88c6a07192104a0614629feb50715bba193a2650.jpg
EPCE-5054,プッチベスト～黄青あか～,2000/04/26,モ−ニング娘。・プッチモニ・安倍なつみ・タンポポ・太陽とシスコム−ン・中澤ゆうこ・平家みちよ・ココナッツ娘・黄色5・青色7・あか組4,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/06730d9dcfe9f115b9978823b5c1550d53169b85.jpg
EPCE-5064,映画「ピンチランナー」オリジナル・サウンドトラック,2000/07/05,モーニング娘。,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/f2fce042f2897d4258da9e487ede1c8ff396ce3f.jpg
EPCE-5068,2nd STAGE,2000/09/27,T&Cボンバ－,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/3fb10c679028c236be0310c01876b0bd43ea0f18.jpg
EPCE-5089,ベスト!モーニング娘。1,2001/01/31,モーニング娘。,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/961f6ea275c145182125555b8d606628ba3e92c9.jpg
EPCE-5094,Together！ータンポポ・プッチ・ミニ・ゆうこー,2001/04/18,中澤ゆうこ･タンポポ･プッチモニ･ミニモニ｡,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/3d61d2f0f5a025fce92008cc94041e91724041fb.jpg
EPCE-5116,モーニング娘。のミュージカル  LOVEセンチュリー  ,2001/08/01,V.A.,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/428ef40d3782e4d5cbabc3911e7053db1fd7f5a3.jpg
PKCP-5002,FOLK SONGS,2001/11/29,市井紗耶香 with 中澤裕子,CDアルバム,PICCOLO TOWN,http://cdn.helloproject.com/img/release/o/7d275e51f30fe29646c7970518847afe6e0e0a00.jpg
PKCP-5001,ザ・童謡ポップス①クリスマスと冬のうた集,2001/11/29,V.A.,CDアルバム,PICCOLO TOWN,http://cdn.helloproject.com/img/release/o/8a9ac7403248198dc0a0b954ae581dc63866ccd4.jpg
EPCE-5129,カントリー娘。大全集①,2001/12/12,カントリー娘。,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/8a9211ff0996a38e03ccbfcf13279deab49ecc61.jpg
EPCE-5137,プッチベスト2～三・7・10～,2001/12/19,V.A.,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/45c4156ae6a38eb03c75879697fe68c2807333dd.jpg
EPCE-5136,ファースト KISS,2002/01/01,松浦亜弥,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/163d54e9b92b6b4796cad67225e9be70c465f98b.jpg
PKCP-5003,ザ・童謡ポップス②春のうた集,2002/02/20,V.A.,CDアルバム,PICCOLO TOWN,http://cdn.helloproject.com/img/release/o/e9c1fdc9bb8c2e852cb84acb03311b78ad6e3e3e.jpg
EPCE-5149,4th「いきまっしょい!」,2002/03/27,モーニング娘。,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/8ade556e843fc1ba9117564ab7017561286e03a2.jpg
PKCP-5006,FOLK SONGS 2,2002/05/22,中澤裕子/メロン記念日/松浦亜弥/石井リカ,CDアルバム,PICCOLO TOWN,http://cdn.helloproject.com/img/release/o/849e6162d5c556f2c8f4fa95761b001b214a9442.jpg
PKCP-5005,ザ・童謡ポップス③夏のうた集,2002/06/05,V.A.,CDアルバム,PICCOLO TOWN,http://cdn.helloproject.com/img/release/o/0c38a0b02adb1cd724adcfcfaa8725c475d45ef9.jpg
EPCE-5162,ミニモニ。ソング大百科1巻,2002/06/26,ミニモニ｡,CDアルバム,zetima,http://cdn.helloproject.com/img/release/o/8a6554e22c2c1d053b27a983034414862c7d8ad9.jpg
