singleId,id
3,EPDA-56
5,EPDE-1003
7,EPDE-1006
8,EPDE-1008
10,EPDE-1014
11,EPDE-1016
12,EPDE-1020
14,EPDE-1024
15,EPDE-1030
16,EPDE-1033
17,EPDE-1031
18,EPDE-1037
19,EPDE-1040
20,EPDE-1044
22,SPRE-002
23,EPDE-1047
27,EPDE-1051
28,EPDE-1052
29,EPCE-5028
30,EPDE-1056
32,EPDE-1063
33,SPRE-003
34,EPDE-1065
35,EPDE-1067
36,EPDE-1068
37,EPDE-1073
38,EPDE-1071
39,EPDE-1072
40,EPDE-1076
42,SPRE-004
44,EPCE-5056
47,EPDE-1078
48,EPCE-5060
49,EPCE-5066
50,EPCE-5061
52,EPCE-5065
53,SPRE-005
55,EPCE-5070
56,SPRE-9002
57,EPCE-5084
59,EPCE-5078
62,EPCE-5092
63,EPCE-5091
64,EPCE-5093
65,EPCE-5077
66,EPCE-5100
67,EPCE-5096
68,SPRE-9005
69,EPCE-5088
70,EPCE-5105
71,SPRE-9006
72,EPCE-5113
73,EPCE-5112
74,EPCE-5111
75,EPCE-5114
76,EPCE-5115
77,EPCE-5085
78,EPCE-5117
79,EPCE-5119
80,EPCE-5118
81,EPCE-5120
82,EPCE-5121
83,EPCE-5124
84,EPCE-5122
85,EPCE-5127
86,EPCE-5126
87,EPCE-5128
88,EPCE-5132
89,EPCE-5134
90,EPCE-5140
91,EPCE-5141
92,EPCE-5142
93,EPCE-5143
95,HKCN-50001
96,EPCE-5153
97,EPCE-5156
98,EPCE-5152
99,EPCE-5158
100,EPCE-5159
101,HKCN-50002
102,EPCE-5161
103,EPCE-5163
104,EPCE-5164
105,EPCE-5165
106,EPCE-5168
107,EPCE-5173
108,EPCE-5175
109,HKCN-50004
110,EPCE-5176
111,EPCE-5178
112,EPCE-5180
113,EPCE-5182
114,HKCN-50005
115,EPCE-5181
116,PKCP-5012
117,EPCE-5188
118,EPCE-5187
119,EPCE-5191
120,PKCP-5015
=121,EPCE-5194
122,HKCN-50007
123,EPCE-5198
124,EPCE-5203
125,PKCP-5018
126,EPCE-5207
127,EPCE-5208
128,HKCN-50010
129,EPCE-5212
130,EPCE-5214
131,EPCE-5211
132,EPCE-5216
133,PKCP-5022
134,EPCE-5221
135,EPCE-5227
136,EPCE-5219
137,EPCE-5224
138,PKCP-5025
139,HKCN-50012
140,EPCE-5230
141,PKCP-5026
142,EPCE-5234
143,EPCE-5233
144,EPCE-5232
145,EPCE-5239
146,EPCE-5236
147,PKCP-5030
148,EPCE-5237
149,EPCE-5243
151,PKCP-5031
152,EPCE-5250
153,PKCP-5033
154,EPCE-5252
155,EPCE-5260
156,EPCE-5262
157,EPCE-2021
158,EPCE-5264
159,EPCE-5268
160,EPCE-5267
161,PKCP-5036
162,EPCE-5278
163,PKCP-5038
164,EPCE-5280
165,PKCP-5037
166,EPCE-5286
167,EPCE-5288
168,PKCP-5040
169,EPCE-5270
170,HKCN-50017
171,EPCE-5282
172,PKCP-5041
173,EPCE-5303
174,EPCE-5292
175,EPCE-2025
176,EPCE-5306
177,HKCN-50019
