songID,varID,lyrics_writer,song_writer,arranger
1,1,サエキけんぞう,桜井鉄太郎,桜井鉄太郎
1,2,サエキけんぞう,桜井鉄太郎,鈴木俊介
1,3,サエキけんぞう,桜井鉄太郎,鈴木俊介
2,1,つんく,はたけ,はたけ
3,1,まこと,はたけ,はたけ
4,1,つんく,つんく,高橋諭一
4,2,つんく,つんく,鈴木俊介
4,3,つんく,つんく,米光亮
4,4,つんく,つんく,桜井鉄太郎
4,5,つんく/ラップ詞:下町兄弟,つんく,下町兄弟
4,6,つんく,つんく,高橋諭一
4,7,つんく,つんく,高橋諭一
4,8,つんく,つんく,平田祥一郎
4,9,つんく,つんく,鈴木俊介
5,1,RICHARD CARPENTER、JOHN BETTIS (訳詞：まこと),RICHARD CARPENTER、JOHN BETTIS,はたけ
6,1,まこと,はたけ,はたけ
7,1,加藤紀子,はたけ,はたけ
8,1,まこと,はたけ,はたけ
9,1,まこと,はたけ,はたけ
10,1,岩谷時子,宮川泰,馬飼野康二/田中直
11,1,まこと,はたけ,はたけ
12,1,愛絵理,はたけ,はたけ
13,1,,はたけ,
14,1,とみたきょうこ,はたけ,はたけ
15,1,つんく,つんく,前嶋康明
15,2,つんく,つんく,BANANAICE
15,3,つんく,つんく,米光亮
15,4,つんく,つんく,前嶋康明
15,5,つんく,つんく,前嶋康明
16,1,つんく,つんく,高橋諭一
17,1,牧穂エミ,はたけ,はたけ
18,1,まこと,はたけ,はたけ
19,1,つんく,つんく,前嶋康明
20,1,つんく,つんく,高橋諭一 (ブラスアレンジ：森宣之)
21,1,つんく,つんく,前嶋康明
22,1,狩野亜希子,つんく,黒尾俊介
23,1,つんく,つんく,今井了介
23,2,つんく,つんく,今井了介
24,1,つんく,つんく,高橋諭一
25,1,つんく,つんく,前嶋康明
26,1,荒木とよひさ,堀内孝雄,川村栄二
27,1,たきのえいじ,堀内孝雄,今泉敏郎
28,1,つんく,つんく,前嶋康明
28,2,つんく,つんく,前嶋康明
28,3,つんく,つんく,前嶋康明
28,4,つんく,つんく,前嶋康明
28,5,つんく,つんく,前嶋康明
28,6,つんく,つんく,前嶋康明
29,1,つんく,つんく,須藤豪、LH Project
30,1,牧穂エミ,はたけ,はたけ
30,2,牧穂エミ,はたけ,はたけ
31,1,つんく,つんく,前嶋康明
32,1,つんく,つんく,須藤豪
33,1,つんく,つんく,山内薫
